title,author,description,genre
"Star Wars, Episode I.",Jim K. Thomas,"Jar Jar Binks guides two Jedi knights, Qui-Gon and Obi-Wan, on a dangerous journey through the core of the planet Naboo in order to warn the Queen of an invasion.",science_fiction
Akiko in the Castle of Alia Rellapor,Mark Crilley,Akiko and her friends reach the final stage of their mission to rescue Prince Froptoppit from the castle of Alia Rellapor.,science_fiction
The time hackers,Gary Paulsen,"When someone uses futuristic technology to play pranks on twelve-year-old Dorso Clayman, he and his best friend set off on a supposedly impossible journey through space and time trying to stop the gamesters who are endangering the universe.",science_fiction
Flight of shadows,Sigmund Brouwer,"In futuristic Appalachia, where the fundamentalist government distorts true Christianity, a winged girl named Caitlyn escapes to the Outside but soon finds herself on the run again from an organization seeking her body's genetic information.",science_fiction
The hidden worlds,Kristin Landon,"After the Earth was destroyed by ruthless machine intelligences, humanity was saved by a hereditary guild of jump pilots, who now control all travel and communication among the Hidden Worlds-and whose power nineteen-year-old Linnea may topple.",science_fiction
Jack and the meanstalk,Brian Wildsmith,"When a scientist's experiment to grow bigger vegetables threatens the whole Earth, the animals find a way to save the day.",science_fiction
Akiko and the Great Wall of Trudd,Mark Crilley,"Akiko and Mr. Beeba, Spuckler, Gax, and Poog continue on their perilous journey across the planet Smoo to rescue Prince Froptoppit.",science_fiction
The black room,Gillian Cross,"Tom, his friend Robert, and Robert's sister Emma attempt to rescue a strange girl Robert believes is the counterpart of Lorn, a tiny person how he met during his own ordeal as a miniature copy of himself.",science_fiction
The king of Attolia,Megan Whalen Turner,"Eugenides, still known as a Thief of Eddis, faces palace intrigue and assassins as he strives to prove himself both to the people of Attolia and to his new bride, their queen.",science_fiction
Alice,Mirra Ginsburg,"Six stories about Alice, a five-year-old living in the twenty-first century, and her adventures with interplanetary visitors and strange animals.",science_fiction
Among the impostors,Margaret Peterson Haddix,"In a future where the law limits a family to only two children, third-born Luke has been in hiding for the entire twelve years of his life, until he enters boarding school under an assumed name and is forced to face his fears.",science_fiction
Moo Cow Kaboom!,Thacher Hurd,"Farmer George's Moo Cow is ""cownapped"" by a space cowboy and taken to Planet 246 to compete in the intergalactic rodeo.",science_fiction
Out there,Elisabeth Mace,"In England after a major disaster has reduced the population to a few thousand, three young people flee a regimented community in search of freedom.",science_fiction
Time's chariot,Ben Jeapes,"In an overcrowded future, Earth's surplus population is dispersed throughout history, but the system that makes this possible is about to collapse with deadly consequences.",science_fiction
"My cousin, the alien",Pamela F. Service,"While at a resort on a vacation trip his uncle won, Zack begins wondering if his cousin has been telling the truth for years--that he really is an alien prince sent to Earth for protection, and who is now being chased by enemy aliens disguised as bald, fat men.",science_fiction
The chicken gave it to me,Anne Fine,"Andrew and Gemma find a story written by a chicken, describing how she has seen little green men come down from space with a plan to roast and eat the people of Earth.",science_fiction
Cathy's book,Sean Stewart,"Cathy, an aspiring artist who is still getting over her father's death, becomes embroiled in a mystery after discovering that her ex-boyfriend--who appears only a few years older than herself--is actually more than two hundred years old.",science_fiction
Double jeopardy,David Sherman,"Released from quarantine upon Earth's discovery of the alien Skink threat, Lieutenant Bass and his men of the 34th FIST unit struggle with internal limitations while planning to locate and invade the Skink home world.",science_fiction
America,Edward Packard,"As an Earth Inspector charged with solving the riddle of why there is an eye on a pyramid on the back of the one dollar bill, the reader travels from New York to Hawaii and encounters federal agents seeking an extraterrestrial.",science_fiction
Aliens in disguise,Clete Barrett Smith,"When a pair of UFO-watchers disguised as aliens tries to get inside the Intergalactic Bed & Breakfast to broadcast their findings, it is up to David and Amy to keep the imposters at bay.",science_fiction
Babar visits another planet.,Laurent de Brunhoff,Babar and his family are kidnapped and taken to a strange planet.,science_fiction
Earthborn,Sylvia Waugh,"Upon suddenly learning that her parents are researchers from another planet and they must leave in seven days or risk discovery, twelve-year-old Nesta decides to stay in their York, England, home whether or not her parents go.",science_fiction
